DISTRICT,no_of_bites,no_of_deaths
Adilabad,3140,10
Ananthapur,3324,48
Chittoor,9043,7
Cuddapah,1042,8
East Godavari,3376,8
Guntur,2150,10
Hyderabad,19,1
Karimnagar,5922,24
Khammam,3074,13
Krishna,5615,26
Kurnool,1667,20
Mahaboobnagar,5867,104
Medak,6090,43
Nalgonda,3834,6
Nellore,577,6
Nizamabad,4689,24
Prakasam,928,10
Rangareddy,2429,28
Srikakulam,5667,6
Visakapatnam,2871,23
Vizianagaram,3362,31
Warangal,2677,2
West Godavari,6449,40
